problem,method,count
expansion,robust,6
expansion,stochastic,62
expansion,milp,13
expansion,metaheuristic,13
expansion,ml,8
expansion,rl,1
expansion,mpc,0
siting,robust,5
siting,stochastic,94
siting,milp,31
siting,metaheuristic,99
siting,ml,9
siting,rl,3
siting,mpc,1
uc,robust,9
uc,stochastic,54
uc,milp,30
uc,metaheuristic,16
uc,ml,6
uc,rl,0
uc,mpc,2
opf,robust,1
opf,stochastic,24
opf,milp,1
opf,metaheuristic,11
opf,ml,2
opf,rl,1
opf,mpc,1
